order_id,supplier_id,supplier_rating,supplier_lead_time,order_date,promised_delivery_date,actual_delivery_date,shipment_mode,shipping_distance_km,order_quantity,unit_price,total_order_value,weather_condition,region,holiday_period,previous_on_time_rate,carrier_name,delayed_reason_code,on_time_delivery
1,5322,3.4,10,2024-05-15,2024-05-25,2024-05-29,Sea,51,48,2153.91,103387.68,Clear,East,No,89.9,EcomExpress,Operational,0
2,3932,4.3,10,2024-11-12,2024-11-22,2024-11-27,Sea,373,91,405.36,36887.76,Rainy,East,Yes,93.6,DHL,Customs,0
3,8966,3.2,5,2024-08-28,2024-09-02,2024-09-02,Sea,1304,25,3241.41,81035.25,Cloudy,South,No,78.2,BlueDart,,1
4,9832,3.9,7,2024-08-12,2024-08-19,2024-08-19,Air,839,71,365.79,25971.09,Rainy,Central,No,85.2,FedEx,Operational,1
5,2126,3.2,8,2024-07-07,2024-07-15,2024-07-18,Sea,258,9,3052.84,27475.56,Cloudy,East,No,77.1,BlueDart,Customs,0
6,4401,3.1,8,2024-05-05,2024-05-13,2024-05-14,Road,450,19,239.6,4552.4,Cloudy,North,Yes,79.3,DHL,Traffic,0
7,8725,4.0,10,2024-10-14,2024-10-24,2024-10-25,Air,278,98,448.95,43997.1,Cloudy,South,Yes,87.2,Delhivery,Traffic,0
8,4079,4.2,7,2024-03-10,2024-03-17,2024-03-16,Sea,176,50,2833.97,141698.5,Rainy,East,No,92.2,FedEx,,1
9,8943,3.4,7,2024-03-26,2024-04-02,2024-04-07,Road,1446,83,2893.39,240151.37,Storm,East,No,89.8,DHL,Traffic,0
10,9586,4.8,8,2024-08-13,2024-08-21,2024-08-24,Sea,1190,47,1762.61,82842.67,Rainy,Central,No,92.4,FedEx,Weather,0
11,1100,4.7,3,2024-07-31,2024-08-03,2024-08-07,Air,986,36,1823.69,65652.84,Storm,North,Yes,84.1,EcomExpress,,0
12,8103,2.7,7,2024-08-07,2024-08-14,2024-08-16,Air,891,54,774.7,41833.8,Rainy,South,Yes,77.2,FedEx,Traffic,0
13,4638,4.0,9,2024-05-29,2024-06-07,2024-06-11,Road,1167,34,4599.71,156390.14,Storm,West,No,98.5,Delhivery,Operational,0
14,1801,2.6,9,2024-07-13,2024-07-22,2024-07-22,Road,327,15,212.76,3191.4,Clear,West,No,88.6,DHL,,1
15,5111,4.2,4,2024-05-13,2024-05-17,2024-05-22,Sea,878,63,2043.19,128720.97,Clear,South,No,77.5,EcomExpress,Weather,0
16,2382,4.3,7,2024-01-21,2024-01-28,2024-01-29,Air,916,63,2660.96,167640.48,Rainy,West,Yes,93.7,Delhivery,Traffic,0
17,1466,4.0,5,2024-05-24,2024-05-29,2024-05-28,Road,624,5,3226.04,16130.2,Storm,East,No,79.3,FedEx,Traffic,1
18,7703,2.6,6,2024-10-13,2024-10-19,2024-10-21,Sea,406,64,712.46,45597.44,Rainy,North,Yes,81.4,Delhivery,Weather,0
19,1431,4.0,6,2024-10-22,2024-10-28,2024-10-29,Sea,1375,13,3443.65,44767.45,Rainy,North,Yes,94.8,EcomExpress,Traffic,0
20,9092,4.0,7,2024-05-01,2024-05-08,2024-05-09,Air,1240,54,1779.22,96077.88,Storm,North,No,84.6,Delhivery,Weather,0
21,4322,3.8,7,2024-07-30,2024-08-06,2024-08-07,Air,736,16,2281.68,36506.88,Clear,Central,Yes,98.1,EcomExpress,Customs,0
22,1829,3.0,4,2024-06-25,2024-06-29,2024-06-29,Road,1403,48,1176.38,56466.24,Storm,South,Yes,82.3,Delhivery,Operational,1
23,1847,4.7,6,2024-11-12,2024-11-18,2024-11-17,Road,106,22,3015.58,66342.76,Clear,North,Yes,77.8,EcomExpress,Traffic,1
24,1340,4.8,7,2024-06-21,2024-06-28,2024-06-30,Road,1055,97,3074.55,298231.35,Cloudy,South,No,79.0,EcomExpress,,0
25,6747,3.1,6,2024-03-01,2024-03-07,2024-03-09,Road,1287,10,1039.2,10392.0,Storm,Central,Yes,98.6,EcomExpress,Operational,0
26,8144,3.6,8,2024-02-21,2024-02-29,2024-03-03,Air,561,75,4649.78,348733.5,Rainy,Central,No,95.3,DHL,Operational,0
27,7596,4.1,6,2024-10-17,2024-10-23,2024-10-24,Road,1410,53,4239.16,224675.48,Clear,South,Yes,84.1,BlueDart,Customs,0
28,4222,3.9,10,2024-01-20,2024-01-30,2024-01-29,Road,1225,26,1643.82,42739.32,Rainy,West,Yes,79.2,Delhivery,Weather,1
29,7943,4.3,10,2024-08-10,2024-08-20,2024-08-25,Sea,1260,84,616.25,51765.0,Storm,West,No,71.2,BlueDart,Weather,0
30,6965,4.3,4,2024-11-06,2024-11-10,2024-11-15,Road,73,73,3780.9,276005.7,Storm,South,Yes,77.9,BlueDart,Traffic,0
31,8376,4.9,8,2024-05-12,2024-05-20,2024-05-22,Sea,1094,76,4788.92,363957.92,Rainy,North,No,88.2,EcomExpress,Customs,0
32,3555,3.0,4,2024-06-14,2024-06-18,2024-06-22,Air,1350,83,3162.55,262491.65,Cloudy,Central,No,92.6,BlueDart,Weather,0
33,2465,3.1,4,2024-04-28,2024-05-02,2024-05-07,Road,860,63,3171.7,199817.1,Storm,Central,Yes,79.9,BlueDart,Operational,0
34,1870,2.8,7,2024-10-01,2024-10-08,2024-10-12,Road,182,9,3502.86,31525.74,Rainy,West,Yes,97.4,Delhivery,Customs,0
